tradedate,index_name,close,predicted_score,sigmoid_score,dist_sma_50
1999-06-24,NSE500,799.34,-0.03895365573997067,0.490262817290315,0.06352914879349436
1999-06-25,NSE500,798.49,-0.09526164210180126,0.47620258311439184,0.0601481278492253
1999-06-28,NSE500,807.96,0.01675449994217216,0.5041885270047427,0.0687428818597049
1999-06-29,NSE500,807.74,-0.09356445912989521,0.47662593471065995,0.06498836573979361
1999-06-30,NSE500,806.12,-0.04197929542438241,0.48950671709079546,0.05951177709928879
1999-07-01,NSE500,804.03,-0.029596780893018888,0.49260134485184404,0.05365526105562868
1999-07-02,NSE500,811.65,-0.06043778875655273,0.4848951503544517,0.05999909626147404
1999-07-05,NSE500,833.23,0.12427934499980466,0.5310299075310506,0.08381072444909354
1999-07-06,NSE500,842.68,0.13506605419181741,0.5337152739323574,0.090380973429113
1999-07-07,NSE500,845.57,0.10814093960120619,0.5270089187960341,0.08857358843455088
1999-07-08,NSE500,845.35,-0.09999409856161737,0.4750222841986123,0.08333427311582997
1999-07-09,NSE500,856.24,0.07634971286186039,0.5190781614557919,0.09237247829645834
1999-07-12,NSE500,898.3,0.3501187059545273,0.5866463645060688,0.13957518950844872
1999-07-13,NSE500,899.81,0.5933195160368475,0.644126433816692,0.1358174108598993
1999-07-14,NSE500,914.51,0.36776923403264783,0.5909198369548303,0.1485693717011174
1999-07-15,NSE500,896.49,0.14607157112271515,0.5364530994620046,0.12118037786138691
1999-07-16,NSE500,903.86,0.15629052417480058,0.5389932901312318,0.12570211600014947
1999-07-19,NSE500,921.43,0.3465823952091733,0.5857885740593625,0.14285919822863824
1999-07-20,NSE500,900.38,0.16265652139129527,0.5405747121861041,0.11305772798658165
1999-07-21,NSE500,917.65,0.1286962959533373,0.5321297398569604,0.12991018097525053
1999-07-22,NSE500,924.53,0.20228890431319618,0.5504004742006987,0.1343066255834835
1999-07-23,NSE500,917.16,0.250775322083011,0.562367324866951,0.12171615870065056
1999-07-26,NSE500,909.66,0.23584656696072664,0.558689848538431,0.10894278495974863
1999-07-27,NSE500,901.75,-0.11539283170523136,0.4711837602133768,0.0961348225774965
1999-07-28,NSE500,913.18,0.08882410026806609,0.5221914366319763,0.107038894624367
1999-07-29,NSE500,912.31,0.14945596723608975,0.5372945965882984,0.1029071312325418
1999-07-30,NSE500,905.03,-0.012342959860476933,0.4969142992099792,0.09085680164637955
1999-08-02,NSE500,888.85,-0.008684093190439068,0.49782899034598826,0.06862756649151369
1999-08-03,NSE500,892.19,-0.019920928000219974,0.49501993269108113,0.06996462193440078
1999-08-04,NSE500,918.13,0.031765252122834806,0.507940645345334,0.0973280618050043
1999-08-05,NSE500,914.87,0.17529023759884,0.5437106930146631,0.08918852377435194
1999-08-06,NSE500,914.54,0.041143300796724194,0.5102843744823645,0.08428066904008436
1999-08-09,NSE500,925.81,-0.3180287487424152,0.42115623186521345,0.09366092246904323
1999-08-10,NSE500,916.73,0.12211591074019783,0.5304910960791082,0.07905658205328803
1999-08-11,NSE500,922.53,0.1310849231519408,0.5327243849092014,0.0819585381168928
1999-08-12,NSE500,924.13,0.1919712159371581,0.5478459554492342,0.08010417097654088
1999-08-13,NSE500,915.69,0.08755235608237365,0.5218741179559703,0.06702211930595858
1999-08-16,NSE500,932.06,0.0967311817097943,0.5241639566779533,0.08244167327277463
1999-08-17,NSE500,949.6,0.044746432222431784,0.5111847419034334,0.09899368472121006
1999-08-18,NSE500,978.12,0.10086145912091285,0.5251940101073449,0.12718139885640833
1999-08-19,NSE500,962.35,0.13356186055391636,0.5333409164547249,0.10476884518564833
1999-08-20,NSE500,968.58,0.07429453244268597,0.5185650944515617,0.10718747085085312
1999-08-23,NSE500,983.32,-0.09370652733909346,0.4765904953946335,0.1185698613606756
1999-08-24,NSE500,993.46,0.257750634057724,0.5640832676600755,0.12416128646797042
1999-08-25,NSE500,982.3,0.16486298067698138,0.5411226452207658,0.10642046004924444
1999-08-26,NSE500,1001.2,0.0399842003570968,0.509994718548159,0.12242404130950968
1999-08-27,NSE500,1007.45,0.2206658681999241,0.5549436980384883,0.12396216605789334
1999-08-30,NSE500,1005.95,0.1399367555139665,0.5349272112240532,0.11735150982129716
1999-08-31,NSE500,999.66,0.12402920652294996,0.5309676132757714,0.10587412243933492
1999-09-01,NSE500,994.02,-0.12298127077298983,0.4692933741442923,0.09507361192297448
1999-09-02,NSE500,971.62,0.02289451608540986,0.505723379026881,0.06634865634713516
1999-09-03,NSE500,972.18,-0.07485062708992735,0.4812960749885856,0.0629109270628243
1999-09-06,NSE500,983.42,-0.021366840125046898,0.49465849318564536,0.07109046859962942
1999-09-07,NSE500,978.15,-0.04343195006582325,0.4891437189778209,0.06141066104892534
1999-09-08,NSE500,993.97,-0.014626455483207162,0.49634345131706253,0.07419798001455957
1999-09-09,NSE500,991.74,0.005783043079752619,0.501445756740666,0.0674570790204978
1999-09-10,NSE500,990.85,-0.029647987935039092,0.49258854589926926,0.062400780226875785
1999-09-14,NSE500,983.19,0.011753375259792906,0.5029383099897329,0.05080847452736137
1999-09-15,NSE500,983.7,-0.11544826062657149,0.47116994903193316,0.04819390340504781
1999-09-16,NSE500,967.46,-0.04855428474388326,0.48786381299420145,0.02821823827421399
1999-09-17,NSE500,975.81,-0.17451762351653785,0.45648099079428955,0.03422466376914324
1999-09-20,NSE500,976.34,-0.09208074460928714,0.4769960654863389,0.03215873132665292
1999-09-21,NSE500,974.05,-0.07612782974097712,0.4809772287984903,0.028091202840847984
1999-09-22,NSE500,1001.35,-0.01112426913422893,0.4972189613956968,0.05464523118358522
1999-09-23,NSE500,1017.43,0.05702552981079143,0.51425252033465,0.06926294916600151
1999-09-24,NSE500,1028.96,0.10904293780053244,0.5272337548619914,0.07837773823223015
1999-09-27,NSE500,1015.13,-0.04899428989930846,0.4877538771012295,0.06140802681390212
1999-09-28,NSE500,1007.22,-0.03862770368056124,0.4903442746585764,0.05125145702729683
1999-09-29,NSE500,1031.36,0.04634146926850503,0.5115832944335812,0.07351164962484957
1999-09-30,NSE500,1025.11,-0.06516975143809314,0.48371332598884786,0.06462460691007443
1999-10-01,NSE500,1015.63,-0.03239352774179261,0.4919023261536892,0.05278706673328459
1999-10-04,NSE500,988.11,-0.0991455143721881,0.47523390529868803,0.022755854573683454
1999-10-05,NSE500,1000.5,-0.14077236749056715,0.46486491123239904,0.03363652649363824
1999-10-06,NSE500,1012.27,-0.06678608954076816,0.48330968091989823,0.04341360046392717
1999-10-07,NSE500,1065.83,-0.09222583466285789,0.4769598698727177,0.0951749949548153
1999-10-08,NSE500,1079.72,0.4468608748445726,0.6098926201235894,0.1056435828291622
1999-10-11,NSE500,1080.8,0.10748372231602676,0.5268450910005523,0.10277972321943118
1999-10-12,NSE500,1091.49,-0.1966033072858567,0.4510068819544962,0.10910074527375468
1999-10-13,NSE500,1106.49,0.08281796836568456,0.5206926661775955,0.11946731287780454
1999-10-14,NSE500,1114.91,0.16410434157674622,0.5409342624910222,0.12351251059109414
1999-10-15,NSE500,1072.58,0.010607482201444746,0.5026518456852267,0.07743124190982309
1999-10-18,NSE500,1080.15,0.15476473190038478,0.5386141395099321,0.08143734301312278
1999-10-20,NSE500,1107.07,0.14843498151381085,0.5370407605901035,0.10438105301212608
1999-10-21,NSE500,1081.62,-0.10839803011988011,0.4729269965624645,0.07545484754098641
1999-10-22,NSE500,1068.73,-0.056547356414762405,0.48586692669269854,0.05955783167432793
1999-10-23,NSE500,1079.39,-0.10325357716075953,0.4742095149834727,0.06684201755788788
1999-10-25,NSE500,1048.81,-0.08471049400002921,0.4788350314046132,0.033896864842143826
1999-10-26,NSE500,1052.24,-0.08214515185854288,0.479475252189776,0.03482615247144105
1999-10-27,NSE500,1047.55,-0.110855641370654,0.4723144361148041,0.028232796106113733
1999-10-28,NSE500,1008.74,-0.12551409934558158,0.4686626045923536,-0.010456355076598034
1999-10-29,NSE500,972.62,-0.0014378630048941235,0.499640534310708,-0.04608119657365206
1999-11-01,NSE500,919.65,0.050982537550788326,0.5127428743803488,-0.09716618268137656
1999-11-02,NSE500,970.76,-0.030767147264931596,0.4923088198912401,-0.046755673844246726
1999-11-03,NSE500,965.75,0.1289219467885774,0.5321859192143145,-0.05115891739664147
1999-11-04,NSE500,973.43,0.04800870755164877,0.5119998721649966,-0.04344666185555024
1999-11-05,NSE500,994.7,-0.12154213364454103,0.46965181724661914,-0.02242054451971709
