Date,PortfolioValue,Positions
2017-05-25,15160621.192880599,1
2017-05-26,15251889.5528806,1
2017-05-29,15305765.432880599,1
2017-05-30,15341983.7528806,1
2017-05-31,15342164.3928806,1
2017-06-01,15382853.5528806,1
2017-06-02,15469493.0128806,1
2017-06-05,15499298.612880599,1
2017-06-06,15461341.6328806,1
2017-06-07,15499524.4128806,1
2017-06-08,15486540.9128806,1
2017-06-09,15482408.7728806,1
2017-06-12,15417152.5728806,1
2017-06-13,15418642.8528806,1
2017-06-14,15448358.1328806,1
2017-06-15,15409272.1528806,1
2017-06-16,15414849.4128806,1
2017-06-19,15458948.1528806,1
2017-06-20,15451903.192880599,1
2017-06-21,15448629.0928806,1
2017-06-22,15418168.672880601,1
2017-06-23,15354154.3728806,1
2017-06-27,15247621.932880599,1
2017-06-28,15218990.4928806,1
2017-06-29,15210477.8328806,1
2017-06-30,15249202.5328806,1
2017-07-03,15344919.1528806,1
2017-07-04,15372195.792880598,1
2017-07-05,15438580.9928806,1
2017-07-06,15450458.0728806,1
2017-07-07,15439913.2128806,1
2017-07-10,15619717.7528806,1
2017-07-11,15632249.6528806,1
2017-07-12,15688067.4128806,1
2017-07-13,15746052.8528806,1
2017-07-14,15738353.0728806,1
2017-07-17,15841859.792880598,1
2017-07-18,15844095.2128806,1
2017-07-19,15948866.4128806,1
2017-07-20,15871620.2328806,1
2017-07-21,15982397.7128806,1
2017-07-24,16032254.3528806,1
2017-07-25,15997616.6328806,1
2017-07-26,16045441.0728806,1
2017-07-27,16027760.932880599,1
2017-07-28,16046389.432880599,1
2017-07-31,16122935.6328806,1
2017-08-01,16143935.0328806,1
2017-08-02,16113948.792880598,1
2017-08-03,16086107.6528806,1
2017-08-04,16140254.4928806,1
2017-08-07,16118058.3528806,1
2017-08-08,16020670.8128806,1
2017-08-09,15932541.0728806,1
2017-08-10,15774797.192880599,1
2017-08-11,15640378.4528806,1
2017-08-14,15786854.9128806,1
2017-08-16,15915673.8128806,1
2017-08-17,15933331.3728806,1
2017-08-18,15870581.5528806,1
2017-08-21,15714869.8728806,1
2017-08-22,15712476.3928806,1
2017-08-23,15788616.1528806,1
2017-08-24,15815102.4928806,1
2017-08-28,15926941.2328806,1
2017-08-29,15747339.9128806,1
2017-08-30,15869046.112880599,1
2017-08-31,15957333.9128806,1
2017-09-01,16066485.6328806,1
2017-09-04,15991384.5528806,1
2017-09-05,16065605.0128806,1
2017-09-06,16039344.4728806,1
2017-09-07,16078678.8328806,1
2017-09-08,16051740.8928806,1
2017-09-11,16148089.7528806,1
2017-09-12,16265821.8728806,1
2017-09-13,16266567.0128806,1
2017-09-14,16246019.2128806,1
2017-09-15,16280611.7728806,1
2017-09-18,16413472.4928806,1
2017-09-19,16412817.672880601,1
2017-09-20,16358377.292880598,1
2017-09-21,16353703.2328806,1
2017-09-22,16137951.3328806,1
2017-09-25,16026067.432880599,1
2017-09-26,15987162.0928806,1
2017-09-27,15786358.1528806,1
2017-09-28,15861865.672880601,1
2017-09-29,15872139.5728806,1
2017-10-03,15942566.5928806,1
2017-10-04,16040089.612880599,1
2017-10-05,16048240.9928806,1
2017-10-06,16173695.4728806,1
2017-10-09,16185233.8528806,1
2017-10-10,16252725.4728806,1
2017-10-11,16238951.672880601,1
2017-10-12,16399608.3728806,1
2017-10-13,16484328.5328806,1
2017-10-16,16583522.4728806,1
2017-10-17,16591831.9128806,1
2017-10-18,16635027.4528806,1
2017-10-19,16552407.2328806,1
2017-10-23,16643788.4928806,1
2017-10-24,16664878.2128806,1
2017-10-25,16617889.2328806,1
2017-10-26,16682287.3928806,1
2017-10-27,16707735.0528806,1
2017-10-30,16775384.7328806,1
2017-10-31,16770530.0328806,1
2017-11-01,16855724.3728806,1
