index_name,tradedate,open,high,low,close
N500Q 50,2011-09-02 00:00:00,,,,2671.03
N500VALUE 50,2011-09-02 00:00:00,,,,2650.92
N500MOM 50,2011-09-02 00:00:00,,,,3740.21
NSE500,2011-09-02 00:00:00,4097.9,4097.9,4039.4,4070.9
N500Q 50,2011-09-05 00:00:00,,,,2690.16
N500MOM 50,2011-09-05 00:00:00,,,,3766.1
NSE500,2011-09-05 00:00:00,4048.15,4071.15,4030.3,4063.15
N500LOWVOL 50,2011-09-05 00:00:00,,,,3162.41
N500VALUE 50,2011-09-05 00:00:00,,,,2666.79
NSE500,2011-09-06 00:00:00,4050.15,4098.05,4013.3,4093.2
N500VALUE 50,2011-09-06 00:00:00,,,,2678.12
N500LOWVOL 50,2011-09-06 00:00:00,,,,3175.75
N500Q 50,2011-09-06 00:00:00,,,,2701.35
N500MOM 50,2011-09-06 00:00:00,,,,3779.17
N500Q 50,2011-09-07 00:00:00,,,,2733.93
NSE500,2011-09-07 00:00:00,4101.95,4165.25,4101.95,4146.4
N500MOM 50,2011-09-07 00:00:00,,,,3812.13
N500LOWVOL 50,2011-09-07 00:00:00,,,,3222.38
N500VALUE 50,2011-09-07 00:00:00,,,,2715.52
N500Q 50,2011-09-08 00:00:00,,,,2744.89
N500VALUE 50,2011-09-08 00:00:00,,,,2725.12
N500LOWVOL 50,2011-09-08 00:00:00,,,,3227.11
N500MOM 50,2011-09-08 00:00:00,,,,3826.36
NSE500,2011-09-08 00:00:00,4154.25,4175.35,4131.2,4163.85
N500LOWVOL 50,2011-09-09 00:00:00,,,,3191.58
N500MOM 50,2011-09-09 00:00:00,,,,3811.04
N500VALUE 50,2011-09-09 00:00:00,,,,2679.81
N500Q 50,2011-09-09 00:00:00,,,,2720.64
NSE500,2011-09-09 00:00:00,4168.5,4175.65,4090.9,4098.1
N500VALUE 50,2011-09-12 00:00:00,,,,2633.24
NSE500,2011-09-12 00:00:00,4055.9,4055.9,3989.7,4010.75
N500MOM 50,2011-09-12 00:00:00,,,,3710.77
N500LOWVOL 50,2011-09-12 00:00:00,,,,3147.15
N500Q 50,2011-09-12 00:00:00,,,,2664.92
NSE500,2011-09-13 00:00:00,4027.75,4074.9,3987.65,4007.1
N500Q 50,2011-09-13 00:00:00,,,,2665.27
N500VALUE 50,2011-09-13 00:00:00,,,,2635.55
N500LOWVOL 50,2011-09-13 00:00:00,,,,3143.75
N500MOM 50,2011-09-13 00:00:00,,,,3711.81
N500Q 50,2011-09-14 00:00:00,,,,2688.31
N500VALUE 50,2011-09-14 00:00:00,,,,2649.77
N500LOWVOL 50,2011-09-14 00:00:00,,,,3174.66
N500MOM 50,2011-09-14 00:00:00,,,,3734.95
NSE500,2011-09-14 00:00:00,4020.4,4060.4,3992,4051.55
N500Q 50,2011-09-15 00:00:00,,,,2710.39
NSE500,2011-09-15 00:00:00,4078.9,4105.85,4029.1,4097
N500MOM 50,2011-09-15 00:00:00,,,,3773.17
N500LOWVOL 50,2011-09-15 00:00:00,,,,3203.11
N500VALUE 50,2011-09-15 00:00:00,,,,2670.67
N500MOM 50,2011-09-16 00:00:00,,,,3809.91
N500VALUE 50,2011-09-16 00:00:00,,,,2650.74
N500LOWVOL 50,2011-09-16 00:00:00,,,,3207.05
N500Q 50,2011-09-16 00:00:00,,,,2698.74
NSE500,2011-09-16 00:00:00,4123.1,4136,4093.55,4105.1
N500LOWVOL 50,2011-09-19 00:00:00,,,,3185
N500VALUE 50,2011-09-19 00:00:00,,,,2644.93
N500Q 50,2011-09-19 00:00:00,,,,2687
N500MOM 50,2011-09-19 00:00:00,,,,3793.89
NSE500,2011-09-19 00:00:00,4096.3,4096.3,4064.4,4072.05
N500Q 50,2011-09-20 00:00:00,,,,2722.11
NSE500,2011-09-20 00:00:00,4077.9,4148,4075.85,4142.8
N500VALUE 50,2011-09-20 00:00:00,,,,2667.5
N500LOWVOL 50,2011-09-20 00:00:00,,,,3233.87
N500MOM 50,2011-09-20 00:00:00,,,,3856.47
N500LOWVOL 50,2011-09-21 00:00:00,,,,3234.28
N500MOM 50,2011-09-21 00:00:00,,,,3882.89
N500Q 50,2011-09-21 00:00:00,,,,2726.55
NSE500,2011-09-21 00:00:00,4150.5,4167.2,4132.8,4150.55
N500VALUE 50,2011-09-21 00:00:00,,,,2684.82
N500Q 50,2011-09-22 00:00:00,,,,2641.97
NSE500,2011-09-22 00:00:00,4107.45,4107.45,3985.25,3994.15
N500MOM 50,2011-09-22 00:00:00,,,,3745.77
N500LOWVOL 50,2011-09-22 00:00:00,,,,3136.08
N500VALUE 50,2011-09-22 00:00:00,,,,2602.24
N500MOM 50,2011-09-23 00:00:00,,,,3724.07
N500Q 50,2011-09-23 00:00:00,,,,2622.38
NSE500,2011-09-23 00:00:00,3966.8,3996.45,3923.3,3952.1
N500VALUE 50,2011-09-23 00:00:00,,,,2573.05
N500LOWVOL 50,2011-09-23 00:00:00,,,,3119.19
N500Q 50,2011-09-26 00:00:00,,,,2587.49
NSE500,2011-09-26 00:00:00,3957.95,3957.95,3860.55,3914.8
N500MOM 50,2011-09-26 00:00:00,,,,3670.46
N500VALUE 50,2011-09-26 00:00:00,,,,2539.91
N500LOWVOL 50,2011-09-26 00:00:00,,,,3091.68
NSE500,2011-09-27 00:00:00,3953.35,4017.85,3953.35,4010.05
N500MOM 50,2011-09-27 00:00:00,,,,3746.65
N500Q 50,2011-09-27 00:00:00,,,,2633.53
N500VALUE 50,2011-09-27 00:00:00,,,,2581.65
N500LOWVOL 50,2011-09-27 00:00:00,,,,3150.48
NSE500,2011-09-28 00:00:00,4028.95,4028.95,3972.15,3987.45
N500Q 50,2011-09-28 00:00:00,,,,2623.77
N500LOWVOL 50,2011-09-28 00:00:00,,,,3147.24
N500MOM 50,2011-09-28 00:00:00,,,,3724.65
N500VALUE 50,2011-09-28 00:00:00,,,,2545.2
N500MOM 50,2011-09-29 00:00:00,,,,3727.67
NSE500,2011-09-29 00:00:00,3975.6,4033.5,3955.9,4024.75
N500Q 50,2011-09-29 00:00:00,,,,2639.49
N500LOWVOL 50,2011-09-29 00:00:00,,,,3172.4
N500VALUE 50,2011-09-29 00:00:00,,,,2556.37
N500VALUE 50,2011-09-30 00:00:00,,,,2532.33
N500MOM 50,2011-09-30 00:00:00,,,,3699.57
N500LOWVOL 50,2011-09-30 00:00:00,,,,3141.44
NSE500,2011-09-30 00:00:00,4011.25,4037.95,3964.8,3978.35
N500Q 50,2011-09-30 00:00:00,,,,2618.1
N500MOM 50,2011-10-03 00:00:00,,,,3649.42
N500VALUE 50,2011-10-03 00:00:00,,,,2502.5
N500LOWVOL 50,2011-10-03 00:00:00,,,,3093.69
NSE500,2011-10-03 00:00:00,3940.85,3940.85,3888,3903.2
N500Q 50,2011-10-03 00:00:00,,,,2577.29
NSE500,2011-10-04 00:00:00,3888.85,3921.85,3821.9,3843.7
N500MOM 50,2011-10-04 00:00:00,,,,3595.95
N500Q 50,2011-10-04 00:00:00,,,,2555.22
N500VALUE 50,2011-10-04 00:00:00,,,,2475.57
N500LOWVOL 50,2011-10-04 00:00:00,,,,3065.11
N500MOM 50,2011-10-05 00:00:00,,,,3554.41
NSE500,2011-10-05 00:00:00,3854.3,3877.3,3817.35,3821.85
N500VALUE 50,2011-10-05 00:00:00,,,,2458.96
N500LOWVOL 50,2011-10-05 00:00:00,,,,3054.01
N500Q 50,2011-10-05 00:00:00,,,,2540.29
N500VALUE 50,2011-10-07 00:00:00,,,,2491.72
N500LOWVOL 50,2011-10-07 00:00:00,,,,3108.24
N500Q 50,2011-10-07 00:00:00,,,,2586.56
N500MOM 50,2011-10-07 00:00:00,,,,3624.14
NSE500,2011-10-07 00:00:00,3894.4,3942.1,3894.4,3913.95
N500LOWVOL 50,2011-10-10 00:00:00,,,,3143.64
N500Q 50,2011-10-10 00:00:00,,,,2624.75
NSE500,2011-10-10 00:00:00,3913.35,3983.9,3910.6,3977.9
N500MOM 50,2011-10-10 00:00:00,,,,3683.11
N500VALUE 50,2011-10-10 00:00:00,,,,2524.19
N500LOWVOL 50,2011-10-11 00:00:00,,,,3139.13
N500Q 50,2011-10-11 00:00:00,,,,2634.37
NSE500,2011-10-11 00:00:00,3999.85,4029.35,3975.6,3981.85
N500VALUE 50,2011-10-11 00:00:00,,,,2532.3
N500MOM 50,2011-10-11 00:00:00,,,,3724.22
N500MOM 50,2011-10-12 00:00:00,,,,3769.95
N500LOWVOL 50,2011-10-12 00:00:00,,,,3192.16
NSE500,2011-10-12 00:00:00,4001.9,4072.95,4001.2,4068.6
N500Q 50,2011-10-12 00:00:00,,,,2694.21
N500VALUE 50,2011-10-12 00:00:00,,,,2571.33
N500Q 50,2011-10-13 00:00:00,,,,2680.81
NSE500,2011-10-13 00:00:00,4085.7,4099.2,4052.3,4058.3
N500MOM 50,2011-10-13 00:00:00,,,,3748.24
N500VALUE 50,2011-10-13 00:00:00,,,,2557.31
N500LOWVOL 50,2011-10-13 00:00:00,,,,3171.31
N500VALUE 50,2011-10-14 00:00:00,,,,2569.42
NSE500,2011-10-14 00:00:00,4047.15,4095.95,4044.15,4090.7
N500Q 50,2011-10-14 00:00:00,,,,2699.76
N500LOWVOL 50,2011-10-14 00:00:00,,,,3192.51
N500MOM 50,2011-10-14 00:00:00,,,,3772.41
N500MOM 50,2011-10-17 00:00:00,,,,3795.54
N500LOWVOL 50,2011-10-17 00:00:00,,,,3176.54
N500VALUE 50,2011-10-17 00:00:00,,,,2551.72
N500Q 50,2011-10-17 00:00:00,,,,2711.29
NSE500,2011-10-17 00:00:00,4103.75,4111.45,4063.45,4083.8
NSE500,2011-10-18 00:00:00,4046.45,4046.45,4007.15,4023.15
N500VALUE 50,2011-10-18 00:00:00,,,,2528.33
N500MOM 50,2011-10-18 00:00:00,,,,3741.82
N500LOWVOL 50,2011-10-18 00:00:00,,,,3149.02
N500Q 50,2011-10-18 00:00:00,,,,2664.21
NSE500,2011-10-19 00:00:00,4046.6,4098.7,4046.6,4093.5
N500VALUE 50,2011-10-19 00:00:00,,,,2563.23
N500LOWVOL 50,2011-10-19 00:00:00,,,,3197.3
N500Q 50,2011-10-19 00:00:00,,,,2690.05
N500MOM 50,2011-10-19 00:00:00,,,,3798.33
NSE500,2011-10-20 00:00:00,4064.95,4064.95,4022.5,4057.35
N500VALUE 50,2011-10-20 00:00:00,,,,2534.31
N500Q 50,2011-10-20 00:00:00,,,,2670.38
N500LOWVOL 50,2011-10-20 00:00:00,,,,3177.91
N500MOM 50,2011-10-20 00:00:00,,,,3765.72
N500LOWVOL 50,2011-10-21 00:00:00,,,,3160.68
NSE500,2011-10-21 00:00:00,4065.35,4079.05,4017.5,4024.65
N500Q 50,2011-10-21 00:00:00,,,,2654.91
N500MOM 50,2011-10-21 00:00:00,,,,3754.95
N500VALUE 50,2011-10-21 00:00:00,,,,2528
N500Q 50,2011-10-24 00:00:00,,,,2671.87
N500LOWVOL 50,2011-10-24 00:00:00,,,,3187.72
N500VALUE 50,2011-10-24 00:00:00,,,,2506.48
NSE500,2011-10-24 00:00:00,4059.95,4089,4040.25,4046.65
N500MOM 50,2011-10-24 00:00:00,,,,3773.47
N500VALUE 50,2011-10-25 00:00:00,,,,2517.84
NSE500,2011-10-25 00:00:00,4068.05,4114.1,4033.05,4101.4
N500Q 50,2011-10-25 00:00:00,,,,2682.55
N500LOWVOL 50,2011-10-25 00:00:00,,,,3223.53
N500MOM 50,2011-10-25 00:00:00,,,,3781.73
N500LOWVOL 50,2011-10-26 00:00:00,,,,3239.77
N500Q 50,2011-10-26 00:00:00,,,,2694.81
N500MOM 50,2011-10-26 00:00:00,,,,3811.37
N500VALUE 50,2011-10-26 00:00:00,,,,2545.7
NSE500,2011-10-26 00:00:00,4114.15,4128.85,4114.15,4119.05
NSE500,2011-10-28 00:00:00,4195.25,4235.15,4195.25,4229.75
N500VALUE 50,2011-10-28 00:00:00,,,,2598.55
N500Q 50,2011-10-28 00:00:00,,,,2751.74
N500LOWVOL 50,2011-10-28 00:00:00,,,,3294.64
N500MOM 50,2011-10-28 00:00:00,,,,3823.32
N500Q 50,2011-10-31 00:00:00,,,,2755.36
N500MOM 50,2011-10-31 00:00:00,,,,3826.13
NSE500,2011-10-31 00:00:00,4228.7,4236.05,4204.45,4215.9
N500VALUE 50,2011-10-31 00:00:00,,,,2610.98
N500LOWVOL 50,2011-10-31 00:00:00,,,,3294.94
N500LOWVOL 50,2011-11-01 00:00:00,,,,3285.14
N500Q 50,2011-11-01 00:00:00,,,,2752.42
N500MOM 50,2011-11-01 00:00:00,,,,3815.33
NSE500,2011-11-01 00:00:00,4189.75,4210.3,4156.2,4170.75
N500VALUE 50,2011-11-01 00:00:00,,,,2579.59
N500VALUE 50,2011-11-02 00:00:00,,,,2593.11
N500Q 50,2011-11-02 00:00:00,,,,2750.41
NSE500,2011-11-02 00:00:00,4148.3,4198.7,4148.3,4171.4
N500MOM 50,2011-11-02 00:00:00,,,,3806.75
N500LOWVOL 50,2011-11-02 00:00:00,,,,3284.77
N500MOM 50,2011-11-03 00:00:00,,,,3820.41
N500LOWVOL 50,2011-11-03 00:00:00,,,,3295.84
N500VALUE 50,2011-11-03 00:00:00,,,,2594.15
NSE500,2011-11-03 00:00:00,4162.25,4186.45,4137,4179.65
N500Q 50,2011-11-03 00:00:00,,,,2753.13
N500LOWVOL 50,2011-11-04 00:00:00,,,,3306.15
N500VALUE 50,2011-11-04 00:00:00,,,,2611.22
NSE500,2011-11-04 00:00:00,4212.1,4228.55,4182.95,4201.1
N500Q 50,2011-11-04 00:00:00,,,,2775.57
N500MOM 50,2011-11-04 00:00:00,,,,3855.46
NSE500,2011-11-08 00:00:00,4205.55,4216.6,4179.3,4203.05
N500MOM 50,2011-11-08 00:00:00,,,,3846.73
N500VALUE 50,2011-11-08 00:00:00,,,,2608.64
N500LOWVOL 50,2011-11-08 00:00:00,,,,3306.62
N500Q 50,2011-11-08 00:00:00,,,,2777.74
NSE500,2011-11-09 00:00:00,4214.1,4217.85,4141.4,4147.15
N500Q 50,2011-11-09 00:00:00,,,,2760.86
N500LOWVOL 50,2011-11-09 00:00:00,,,,3276.05
N500VALUE 50,2011-11-09 00:00:00,,,,2546.27
N500MOM 50,2011-11-09 00:00:00,,,,3813.95
NSE500,2011-11-11 00:00:00,4113.85,4131.5,4084.6,4100.9
N500Q 50,2011-11-11 00:00:00,,,,2736.14
N500MOM 50,2011-11-11 00:00:00,,,,3794.9
N500LOWVOL 50,2011-11-11 00:00:00,,,,3262.68
N500VALUE 50,2011-11-11 00:00:00,,,,2513.7
N500MOM 50,2011-11-14 00:00:00,,,,3773.2
NSE500,2011-11-14 00:00:00,4127.05,4141.95,4069.4,4074.55
N500VALUE 50,2011-11-14 00:00:00,,,,2460.39
N500LOWVOL 50,2011-11-14 00:00:00,,,,3261.24
N500Q 50,2011-11-14 00:00:00,,,,2728.71
N500MOM 50,2011-11-15 00:00:00,,,,3701.43
N500VALUE 50,2011-11-15 00:00:00,,,,2383.85
NSE500,2011-11-15 00:00:00,4065.2,4076,3988.6,3996.95
N500Q 50,2011-11-15 00:00:00,,,,2691.8
N500LOWVOL 50,2011-11-15 00:00:00,,,,3216.56
N500MOM 50,2011-11-16 00:00:00,,,,3684.25
N500VALUE 50,2011-11-16 00:00:00,,,,2362.7
NSE500,2011-11-16 00:00:00,3991.85,3991.85,3934.4,3965.45
N500Q 50,2011-11-16 00:00:00,,,,2671.65
N500LOWVOL 50,2011-11-16 00:00:00,,,,3185.7
N500Q 50,2011-11-17 00:00:00,,,,2626.87
N500VALUE 50,2011-11-17 00:00:00,,,,2327.57
N500LOWVOL 50,2011-11-17 00:00:00,,,,3136.2
N500MOM 50,2011-11-17 00:00:00,,,,3632.34
NSE500,2011-11-17 00:00:00,3963.75,3969.7,3885.25,3894.75
NSE500,2011-11-18 00:00:00,3875.35,3875.35,3819.5,3869.05
N500VALUE 50,2011-11-18 00:00:00,,,,2321.46
N500MOM 50,2011-11-18 00:00:00,,,,3624.77
N500LOWVOL 50,2011-11-18 00:00:00,,,,3124.51
N500Q 50,2011-11-18 00:00:00,,,,2610.73
NSE500,2011-11-21 00:00:00,3851.65,3851.65,3769.35,3778.6
N500VALUE 50,2011-11-21 00:00:00,,,,2276.31
N500LOWVOL 50,2011-11-21 00:00:00,,,,3068.15
N500Q 50,2011-11-21 00:00:00,,,,2559.04
N500MOM 50,2011-11-21 00:00:00,,,,3555.72
N500MOM 50,2011-11-22 00:00:00,,,,3527.43
N500Q 50,2011-11-22 00:00:00,,,,2574.12
N500VALUE 50,2011-11-22 00:00:00,,,,2297.55
N500LOWVOL 50,2011-11-22 00:00:00,,,,3074.82
NSE500,2011-11-22 00:00:00,3787.6,3827.45,3776.95,3800.6
N500Q 50,2011-11-23 00:00:00,,,,2530.93
N500LOWVOL 50,2011-11-23 00:00:00,,,,3022.48
NSE500,2011-11-23 00:00:00,3782.7,3782.7,3684.4,3720.15
N500MOM 50,2011-11-23 00:00:00,,,,3478.16
N500VALUE 50,2011-11-23 00:00:00,,,,2246.98
NSE500,2011-11-24 00:00:00,3720.8,3768.75,3672.55,3762.85
N500MOM 50,2011-11-24 00:00:00,,,,3521.71
N500VALUE 50,2011-11-24 00:00:00,,,,2269.98
N500LOWVOL 50,2011-11-24 00:00:00,,,,3052.82
N500Q 50,2011-11-24 00:00:00,,,,2555.63
N500VALUE 50,2011-11-25 00:00:00,,,,2268.48
N500MOM 50,2011-11-25 00:00:00,,,,3535.18
NSE500,2011-11-25 00:00:00,3749.15,3782.55,3729.75,3742.2
N500Q 50,2011-11-25 00:00:00,,,,2541.58
N500LOWVOL 50,2011-11-25 00:00:00,,,,3044.69
N500LOWVOL 50,2011-11-28 00:00:00,,,,3100.81
NSE500,2011-11-28 00:00:00,3774.6,3843.25,3774.6,3839.55
N500VALUE 50,2011-11-28 00:00:00,,,,2326.3
N500MOM 50,2011-11-28 00:00:00,,,,3584.2
N500Q 50,2011-11-28 00:00:00,,,,2589.61
N500Q 50,2011-11-29 00:00:00,,,,2578.81
N500LOWVOL 50,2011-11-29 00:00:00,,,,3086.45
NSE500,2011-11-29 00:00:00,3846.65,3852.45,3795.05,3804
N500VALUE 50,2011-11-29 00:00:00,,,,2303.76
N500MOM 50,2011-11-29 00:00:00,,,,3562.47
N500LOWVOL 50,2011-11-30 00:00:00,,,,3105.7
N500MOM 50,2011-11-30 00:00:00,,,,3549.55
N500Q 50,2011-11-30 00:00:00,,,,2574.23
N500VALUE 50,2011-11-30 00:00:00,,,,2300.39
NSE500,2011-11-30 00:00:00,3782.85,3824.1,3768.05,3811.25
N500Q 50,2011-12-01 00:00:00,,,,2608.82
NSE500,2011-12-01 00:00:00,3886.95,3933.15,3864.7,3878.6
N500LOWVOL 50,2011-12-01 00:00:00,,,,3132.99
N500VALUE 50,2011-12-01 00:00:00,,,,2321.13
N500MOM 50,2011-12-01 00:00:00,,,,3560.09
N500Q 50,2011-12-02 00:00:00,,,,2650.18
N500MOM 50,2011-12-02 00:00:00,,,,3617.4
N500LOWVOL 50,2011-12-02 00:00:00,,,,3184.62
NSE500,2011-12-02 00:00:00,3880.85,3968.65,3867.2,3962.1
N500VALUE 50,2011-12-02 00:00:00,,,,2369.59
N500LOWVOL 50,2011-12-05 00:00:00,,,,3181.69
N500Q 50,2011-12-05 00:00:00,,,,2654.41
NSE500,2011-12-05 00:00:00,3954.75,3968.65,3935.1,3957.75
N500MOM 50,2011-12-05 00:00:00,,,,3611.72
N500VALUE 50,2011-12-05 00:00:00,,,,2369.48
N500VALUE 50,2011-12-07 00:00:00,,,,2378.7
N500LOWVOL 50,2011-12-07 00:00:00,,,,3188.02
N500Q 50,2011-12-07 00:00:00,,,,2656.42
N500MOM 50,2011-12-07 00:00:00,,,,3567.85
NSE500,2011-12-07 00:00:00,3963.8,3997.25,3958.4,3970.6
N500MOM 50,2011-12-08 00:00:00,,,,3503.69
N500Q 50,2011-12-08 00:00:00,,,,2619.23
N500VALUE 50,2011-12-08 00:00:00,,,,2324.53
NSE500,2011-12-08 00:00:00,3956.9,3962.6,3870,3883.75
N500LOWVOL 50,2011-12-08 00:00:00,,,,3141.72
NSE500,2011-12-09 00:00:00,3843.95,3866,3815,3830.85
N500VALUE 50,2011-12-09 00:00:00,,,,2318.17
N500LOWVOL 50,2011-12-09 00:00:00,,,,3103.45
N500MOM 50,2011-12-09 00:00:00,,,,3460.88
N500Q 50,2011-12-09 00:00:00,,,,2588.7
NSE500,2011-12-12 00:00:00,3852.75,3854.15,3745.35,3751.05
N500Q 50,2011-12-12 00:00:00,,,,2560.34
N500MOM 50,2011-12-12 00:00:00,,,,3383.85
N500LOWVOL 50,2011-12-12 00:00:00,,,,3058.4
N500VALUE 50,2011-12-12 00:00:00,,,,2270.69
N500LOWVOL 50,2011-12-13 00:00:00,,,,3078.3
NSE500,2011-12-13 00:00:00,3734.15,3782.85,3722.3,3767.1
N500VALUE 50,2011-12-13 00:00:00,,,,2276.7
N500MOM 50,2011-12-13 00:00:00,,,,3384.41
N500Q 50,2011-12-13 00:00:00,,,,2560.95
N500Q 50,2011-12-14 00:00:00,,,,2547.36
N500VALUE 50,2011-12-14 00:00:00,,,,2247.53
N500LOWVOL 50,2011-12-14 00:00:00,,,,3059.53
N500MOM 50,2011-12-14 00:00:00,,,,3361.38
NSE500,2011-12-14 00:00:00,3760.6,3793.15,3728.45,3736.6
N500LOWVOL 50,2011-12-15 00:00:00,,,,3059.49
N500MOM 50,2011-12-15 00:00:00,,,,3352.72
N500Q 50,2011-12-15 00:00:00,,,,2527.98
NSE500,2011-12-15 00:00:00,3709,3733.6,3670.25,3720.2
N500VALUE 50,2011-12-15 00:00:00,,,,2229.63
NSE500,2011-12-16 00:00:00,3723.6,3768,3632.75,3647.95
N500Q 50,2011-12-16 00:00:00,,,,2493.69
N500VALUE 50,2011-12-16 00:00:00,,,,2166.37
N500LOWVOL 50,2011-12-16 00:00:00,,,,3019.8
N500MOM 50,2011-12-16 00:00:00,,,,3294.38
N500LOWVOL 50,2011-12-19 00:00:00,,,,2997.15
N500Q 50,2011-12-19 00:00:00,,,,2463.25
NSE500,2011-12-19 00:00:00,3632.45,3632.45,3565.4,3603.8
N500VALUE 50,2011-12-19 00:00:00,,,,2118.69
N500MOM 50,2011-12-19 00:00:00,,,,3254
N500LOWVOL 50,2011-12-20 00:00:00,,,,2964.63
N500MOM 50,2011-12-20 00:00:00,,,,3197.69
N500Q 50,2011-12-20 00:00:00,,,,2418
NSE500,2011-12-20 00:00:00,3616.25,3618.4,3535.85,3544
N500VALUE 50,2011-12-20 00:00:00,,,,2060.86
N500MOM 50,2011-12-21 00:00:00,,,,3254.56
N500Q 50,2011-12-21 00:00:00,,,,2463.77
